Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
P31069	KCH_ECOLI	Voltage-gated potassium channel Kch	kch b1250 JW1242		kch	46,063	potassium ion transport [GO:0006813]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; identical protein binding [GO:0042802]; potassium ion transport [GO:0006813]	identical protein binding [GO:0042802]	GO:0005886; GO:0006813; GO:0016021; GO:0032991; GO:0042802	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:8824224}; Multi-pass membrane protein {ECO:0000269|PubMed:8824224}.	
P11072	LIT_ECOLI	Cell death peptidase (Bacteriophage T4 late gene expression-blocking protein) (GpLit)	lit b1139 JW1125		lit	33,762	regulation of translational elongation [GO:0006448]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; peptidase activity [GO:0008233]; regulation of translational elongation [GO:0006448]	peptidase activity [GO:0008233]	GO:0005886; GO:0006448; GO:0008233; GO:0016021	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	
P0AEY3	MAZG_ECOLI	Nucleoside triphosphate pyrophosphohydrolase (NTP-PPase) (EC 3.6.1.8)	mazG b2781 JW2752		mazG	30,412	cellular response to starvation [GO:0009267]; dATP catabolic process [GO:0046061]; dGTP catabolic process [GO:0006203]; dTTP catabolic process [GO:0046076]; dUTP catabolic process [GO:0046081]; TTP catabolic process [GO:0046047]; UTP catabolic process [GO:0046052]		ATP binding [GO:0005524]; ATP diphosphatase activity [GO:0047693]; metal ion binding [GO:0046872]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; cellular response to starvation [GO:0009267]; dATP catabolic process [GO:0046061]; dGTP catabolic process [GO:0006203]; dTTP catabolic process [GO:0046076]; dUTP catabolic process [GO:0046081]; TTP catabolic process [GO:0046047]; UTP catabolic process [GO:0046052]	ATP binding [GO:0005524]; ATP diphosphatase activity [GO:0047693]; metal ion binding [GO:0046872]; nucleoside-triphosphate diphosphatase activity [GO:0047429]	GO:0005524; GO:0006203; GO:0009267; GO:0046047; GO:0046052; GO:0046061; GO:0046076; GO:0046081; GO:0046872; GO:0047429; GO:0047693		
P0AE18	MAP1_ECOLI	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map b0168 JW0163		map	29,331	protein initiator methionine removal [GO:0070084]	cytosol [GO:0005829]	cytosol [GO:0005829]; ferrous iron binding [GO:0008198]; metalloaminopeptidase activity [GO:0070006]; protein initiator methionine removal [GO:0070084]	ferrous iron binding [GO:0008198]; metalloaminopeptidase activity [GO:0070006]	GO:0005829; GO:0008198; GO:0070006; GO:0070084		
P41052	MLTB_ECOLI	Membrane-bound lytic murein transglycosylase B (EC 4.2.2.n1) (35 kDa soluble lytic transglycosylase) (Murein hydrolase B) (Slt35)	mltB b2701 JW2671		mltB	40,256	cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	anchored component of cell outer membrane [GO:0036405]; cell outer membrane [GO:0009279]; outer membrane-bounded periplasmic space [GO:0030288]	anchored component of cell outer membrane [GO:0036405]; cell outer membrane [GO:0009279]; outer membrane-bounded periplasmic space [GO:0030288]; calcium ion binding [GO:0005509]; lyase activity [GO:0016829]; lytic endotransglycosylase activity [GO:0008932]; lytic transglycosylase activity [GO:0008933]; sodium ion binding [GO:0031402]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	calcium ion binding [GO:0005509]; lyase activity [GO:0016829]; lytic endotransglycosylase activity [GO:0008932]; lytic transglycosylase activity [GO:0008933]; sodium ion binding [GO:0031402]	GO:0005509; GO:0008932; GO:0008933; GO:0009253; GO:0009279; GO:0016829; GO:0030288; GO:0031402; GO:0036405; GO:0071555	SUBCELLULAR LOCATION: Cell outer membrane; Lipid-anchor; Periplasmic side.	
P77473	PDEB_ECOLI	Probable cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)	pdeB ylaB b0457 JW5062	ylaB	pdeB	58,720		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]	GO:0005886; GO:0016021; GO:0071111	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.	
P76086	PAAX_ECOLI	Transcriptional repressor PaaX	paaX ydbY b1399 JW1394	ydbY	paaX	35,295	negative regulation of DNA-templated transcription, initiation [GO:2000143]; phenylacetate catabolic process [GO:0010124]; transcription, DNA-templated [GO:0006351]		bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding [GO:0000984]; negative regulation of DNA-templated transcription, initiation [GO:2000143]; phenylacetate catabolic process [GO:0010124]; transcription, DNA-templated [GO:0006351]	bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding [GO:0000984]	GO:0000984; GO:0006351; GO:0010124; GO:2000143		
P27278	NADR_ECOLI	Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)]	nadR nadI b4390 JW5800	nadI	nadR	47,346	cellular response to metal ion [GO:0071248]; NAD biosynthetic process [GO:0009435]; response to alkaline pH [GO:0010446]	catalytic complex [GO:1902494]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	catalytic complex [GO:1902494]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]; ribosylnicotinamide kinase activity [GO:0050262]; cellular response to metal ion [GO:0071248]; NAD biosynthetic process [GO:0009435]; response to alkaline pH [GO:0010446]	ATP binding [GO:0005524]; bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]; ribosylnicotinamide kinase activity [GO:0050262]	GO:0000287; GO:0000309; GO:0000986; GO:0005524; GO:0005737; GO:0005886; GO:0009435; GO:0010446; GO:0042802; GO:0050262; GO:0071248; GO:1902494	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein. Cytoplasm {ECO:0000250}.	
P0ACP5	GNTR_ECOLI	HTH-type transcriptional regulator GntR (Gluconate utilization system GNT-I transcriptional repressor)	gntR b3438 JW5946		gntR	36,422	cellular response to DNA damage stimulus [GO:0006974]; D-gluconate catabolic process [GO:0046177]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]	cytosol [GO:0005829]	cytosol [GO:0005829]; DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; D-gluconate catabolic process [GO:0046177]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0003700; GO:0005829; GO:0006355; GO:0006974; GO:0045892; GO:0045893; GO:0046177		
P0A9D2	GSTA_ECOLI	Glutathione S-transferase GstA (EC 2.5.1.18) (GST B1-1)	gstA gst b1635 JW1627	gst	gstA	22,868	glutathione metabolic process [GO:0006749]; response to hydrogen peroxide [GO:0042542]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]; response to hydrogen peroxide [GO:0042542]	glutathione transferase activity [GO:0004364]	GO:0004364; GO:0005737; GO:0006749; GO:0042542	SUBCELLULAR LOCATION: Cytoplasm.	
P0A6F3	GLPK_ECOLI	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK b3926 JW3897		glpK	56,231	cellular response to DNA damage stimulus [GO:0006974]; glycerol-3-phosphate metabolic process [GO:0006072]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; phosphorylation [GO:0016310]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270]; cellular response to DNA damage stimulus [GO:0006974]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072]; phosphorylation [GO:0016310]	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270]	GO:0004370; GO:0005524; GO:0005829; GO:0006071; GO:0006072; GO:0006974; GO:0008270; GO:0016310; GO:0019563; GO:0042802; GO:0046872		
P33129	HTRE_ECOLI	Outer membrane usher protein HtrE (Heat shock protein E)	htrE b0139 JW0135		htrE	95,499	cell adhesion [GO:0007155]; pilus assembly [GO:0009297]; pilus organization [GO:0043711]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; fimbrial usher porin activity [GO:0015473]; cell adhesion [GO:0007155]; pilus assembly [GO:0009297]; pilus organization [GO:0043711]	fimbrial usher porin activity [GO:0015473]	GO:0007155; GO:0009279; GO:0009297; GO:0015473; GO:0016021; GO:0043711	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	
P39343	IDNR_ECOLI	HTH-type transcriptional regulator IdnR (L-idonate regulatory protein)	idnR yjgS b4264 JW4221	yjgS	idnR	37,567	D-gluconate metabolic process [GO:0019521]; regulation of transcription, DNA-templated [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; D-gluconate metabolic process [GO:0019521]; regulation of transcription, DNA-templated [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0003700; GO:0006355; GO:0019521		
P0AAT6	IOJAP_ECOLI	Ribosomal silencing factor RsfS	rsfS rsfA slm3 ybeB b0637 JW5090	rsfA slm3 ybeB	rsfS	11,582	mature ribosome assembly [GO:0042256]; negative regulation of ribosome biogenesis [GO:0090071]; negative regulation of translation [GO:0017148]	cytosol [GO:0005829]	cytosol [GO:0005829]; ribosomal large subunit binding [GO:0043023]; mature ribosome assembly [GO:0042256]; negative regulation of ribosome biogenesis [GO:0090071]; negative regulation of translation [GO:0017148]	ribosomal large subunit binding [GO:0043023]	GO:0005829; GO:0017148; GO:0042256; GO:0043023; GO:0090071	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16980477}. Note=Comigrates with the 50S ribosomal subunit in sucrose gradients, specifically with ribosomal protein L14 (rplN).	
P05704	MCP3_ECOLI	Methyl-accepting chemotaxis protein III (MCP-III) (Ribose and galactose chemoreceptor protein)	trg b1421 JW1417		trg	58,899	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	integral component of plasma membrane [GO:0005887]; methyl accepting chemotaxis protein complex [GO:0098561]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; methyl accepting chemotaxis protein complex [GO:0098561]; plasma membrane [GO:0005886]; protein homodimerization activity [GO:0042803]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	protein homodimerization activity [GO:0042803]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005886; GO:0005887; GO:0006935; GO:0007165; GO:0042803; GO:0098561	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:22380631}. Note=Found predominantly at cell poles.	
P62617	ISPF_ECOLI	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF mecS ygbB b2746 JW2716	mecS ygbB	ispF	16,898	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]; ubiquinone biosynthetic process [GO:0006744]		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; identical protein binding [GO:0042802]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]; ubiquinone biosynthetic process [GO:0006744]	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; identical protein binding [GO:0042802]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; zinc ion binding [GO:0008270]	GO:0006744; GO:0008270; GO:0008685; GO:0016114; GO:0019288; GO:0030145; GO:0042802; GO:0046872		
P0AEW6	INGK_ECOLI	Guanosine-inosine kinase (EC 2.7.1.73)	gsk b0477 JW0466		gsk	48,449	IMP salvage [GO:0032264]		ATP binding [GO:0005524]; inosine kinase activity [GO:0008906]; IMP salvage [GO:0032264]	ATP binding [GO:0005524]; inosine kinase activity [GO:0008906]	GO:0005524; GO:0008906; GO:0032264		
P39347	INTB_ECOLI	Putative protein IntB (Int(P4)) (Putative prophage P4 integrase)	intB b4271 JW4227		intB	45,582	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]		DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]	DNA binding [GO:0003677]	GO:0003677; GO:0006310; GO:0015074; GO:0044826; GO:0046718; GO:0075713		
P75679	INSN1_ECOLI	Putative transposase InsN for insertion sequence element IS911A	insN1 b0255 JW5024		insN1	15,250	transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	GO:0003677; GO:0004803; GO:0006313		
P13029	KATG_ECOLI	Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase I) (HPI) (Peroxidase/catalase)	katG b3942 JW3914		katG	80,024	cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]	cytosol [GO:0005829]; catalase activity [GO:0004096]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; peroxidase activity [GO:0004601]; cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	catalase activity [GO:0004096]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; peroxidase activity [GO:0004601]	GO:0004096; GO:0004601; GO:0005829; GO:0006979; GO:0016491; GO:0020037; GO:0042744; GO:0042802; GO:0046872; GO:0070301		
P76008	LDCA_ECOLI	Murein tetrapeptide carboxypeptidase (EC 3.4.17.13) (LD-carboxypeptidase A) (Muramoyltetrapeptide carboxypeptidase)	ldcA ycgQ b1192 JW1181	ycgQ	ldcA	33,567	cell wall organization [GO:0071555]; glycopeptide catabolic process [GO:0009050]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]	cytosol [GO:0005829]	cytosol [GO:0005829]; carboxypeptidase activity [GO:0004180]; serine-type peptidase activity [GO:0008236]; cell wall organization [GO:0071555]; glycopeptide catabolic process [GO:0009050]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]	carboxypeptidase activity [GO:0004180]; serine-type peptidase activity [GO:0008236]	GO:0004180; GO:0005829; GO:0008236; GO:0008360; GO:0009050; GO:0009252; GO:0009254; GO:0071555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10428950}.	
P24205	LPXM_ECOLI	Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243) (Kdo(2)-lauroyl-lipid IV(A) myristoyltransferase)	lpxM msbB b1855 JW1844	msbB	lpxM	37,410	Kdo2-lipid A biosynthetic process [GO:0036104]; lipopolysaccharide biosynthetic process [GO:0009103]	Gram-negative-bacterium-type cell wall [GO:0009276]; integral component of plasma membrane [GO:0005887]	Gram-negative-bacterium-type cell wall [GO:0009276]; integral component of plasma membrane [GO:0005887]; myristoyltransferase activity [GO:0019107]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]; Kdo2-lipid A biosynthetic process [GO:0036104]; lipopolysaccharide biosynthetic process [GO:0009103]	myristoyltransferase activity [GO:0019107]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0005887; GO:0009103; GO:0009276; GO:0016747; GO:0019107; GO:0036104	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01944, ECO:0000269|PubMed:9099672}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01944}.	
P76190	MEPH_ECOLI	Murein DD-endopeptidase MepH (EC 3.4.-.-) (Murein hydrolase MepH)	mepH ydhO b1655 JW5270	ydhO	mepH	29,917	capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]		cysteine-type peptidase activity [GO:0008234]; endopeptidase activity [GO:0004175]; capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]	cysteine-type peptidase activity [GO:0008234]; endopeptidase activity [GO:0004175]	GO:0000270; GO:0004175; GO:0008234; GO:0045227; GO:0071555		
P23200	MGLC_ECOLI	Galactoside transport system permease protein MglC	mglC b2148 JW2135		mglC	35,550	cellular response to DNA damage stimulus [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; galactose transmembrane transporter activity [GO:0005354]; methylgalactoside transmembrane transporter activity [GO:0015592]; cellular response to DNA damage stimulus [GO:0006974]; galactose transmembrane transport [GO:0015757]; methylgalactoside transport [GO:0015765]	galactose transmembrane transporter activity [GO:0005354]; methylgalactoside transmembrane transporter activity [GO:0015592]	GO:0005354; GO:0005886; GO:0006974; GO:0015592; GO:0015757; GO:0015765; GO:0016021	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P0AEU3	HISM_ECOLI	Histidine transport system permease protein HisM	hisM b2307 JW2304		hisM	26,870	amino acid transport [GO:0006865]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0006865; GO:0022857; GO:0043190	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:15919996}.	
P07109	HISP_ECOLI	Histidine transport ATP-binding protein HisP	hisP b2306 JW2303		hisP	28,653	histidine transport [GO:0015817]; L-histidine import across plasma membrane [GO:1903810]; L-histidine transmembrane transport [GO:0089709]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; high-affinity L-histidine transmembrane transporter activity [GO:0005291]; histidine transport [GO:0015817]; L-histidine import across plasma membrane [GO:1903810]; L-histidine transmembrane transport [GO:0089709]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; high-affinity L-histidine transmembrane transporter activity [GO:0005291]	GO:0005291; GO:0005524; GO:0005886; GO:0015817; GO:0042626; GO:0089709; GO:1903810	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein.	
P60757	HIS1_ECOLI	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG b2019 JW2001		hisG	33,367	histidine biosynthetic process [GO:0000105]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]; histidine biosynthetic process [GO:0000105]	ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]	GO:0000105; GO:0000287; GO:0003879; GO:0005524; GO:0005829	SUBCELLULAR LOCATION: Cytoplasm.	
P23256	MALY_ECOLI	Protein MalY [Includes: Cystathionine beta-lyase MalY (CBL) (EC 4.4.1.13) (Beta-cystathionase MalY) (Cysteine lyase MalY) (Cysteine-S-conjugate beta-lyase MalY); Maltose regulon modulator]	malY b1622 JW1614		malY	43,642	methionine biosynthetic process [GO:0009086]; negative regulation of DNA-binding transcription factor activity [GO:0043433]		cystathionine beta-lyase activity [GO:0004121]; cysteine-S-conjugate beta-lyase activity [GO:0047804]; DNA-binding transcription factor binding [GO:0140297]; L-cysteine desulfhydrase activity [GO:0080146]; pyridoxal phosphate binding [GO:0030170]; methionine biosynthetic process [GO:0009086]; negative regulation of DNA-binding transcription factor activity [GO:0043433]	cystathionine beta-lyase activity [GO:0004121]; cysteine-S-conjugate beta-lyase activity [GO:0047804]; DNA-binding transcription factor binding [GO:0140297]; L-cysteine desulfhydrase activity [GO:0080146]; pyridoxal phosphate binding [GO:0030170]	GO:0004121; GO:0009086; GO:0030170; GO:0043433; GO:0047804; GO:0080146; GO:0140297		
P10423	IAP_ECOLI	Alkaline phosphatase isozyme conversion protein (EC 3.4.11.-)	iap b2753 JW2723		iap	37,920	post-translational protein modification [GO:0043687]; proteolysis [GO:0006508]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]; post-translational protein modification [GO:0043687]; proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]	GO:0004177; GO:0006508; GO:0008235; GO:0030288; GO:0043687; GO:0046872		
P05793	ILVC_ECOLI	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	ilvC b3774 JW3747		ilvC	54,069	isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	cytosol [GO:0005829]; protein-containing complex [GO:0032991]	cytosol [GO:0005829]; protein-containing complex [GO:0032991]; identical protein binding [GO:0042802]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	identical protein binding [GO:0042802]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]	GO:0000287; GO:0004455; GO:0005829; GO:0009097; GO:0009099; GO:0032991; GO:0042802; GO:0050661	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:2653423}.	
P0ACD4	ISCU_ECOLI	Iron-sulfur cluster assembly scaffold protein IscU (Sulfur acceptor protein IscU)	iscU nifU yfhN b2529 JW2513	nifU yfhN	iscU	13,849	cellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ferrous iron binding [GO:0008198]; identical protein binding [GO:0042802]; cellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ferrous iron binding [GO:0008198]; identical protein binding [GO:0042802]	GO:0005737; GO:0005829; GO:0006879; GO:0008198; GO:0016226; GO:0042802; GO:0051537; GO:0051539		
P05827	ILVY_ECOLI	HTH-type transcriptional regulator IlvY	ilvY b3773 JW3746		ilvY	33,204	branched-chain amino acid biosynthetic process [GO:0009082]; cellular amino acid biosynthetic process [GO:0008652]; regulation of transcription, DNA-templated [GO:0006355]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; branched-chain amino acid biosynthetic process [GO:0009082]; cellular amino acid biosynthetic process [GO:0008652]; regulation of transcription, DNA-templated [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0003700; GO:0005737; GO:0006355; GO:0008652; GO:0009082	SUBCELLULAR LOCATION: Cytoplasm.	
P0CF45	INSC6_ECOLI	Transposase InsC for insertion element IS2K	insC6 b4272 JW4229		insC6	13,452	transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	DNA binding [GO:0003677]; transposase activity [GO:0004803]	GO:0003677; GO:0004803; GO:0006313		
P76102	INSQ_ECOLI	Putative transposase InsQ for insertion sequence element IS609	insQ tnpB ydcM b1432 JW5228	tnpB ydcM	insQ	43,364	DNA recombination [GO:0006310]; transposition [GO:0032196]		DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; transposition [GO:0032196]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0006310; GO:0032196; GO:0046872		
